emotion,essay,Unnamed: 2
joy,days feel close partner friends feel peace also experience close contact people regard greatly,
fear,every time imagine someone love could contact serious illness even death,
anger,obviously unjustly treated possibility elucidating,
sadness,think short time live relate periods life think use short time,
disgust,gathering found involuntarily sitting next two people expressed opinions considered low discriminating,
shame,realized directing feelings discontent partner way trying put blame instead sorting feeliings,
guilt,feel guilty realize consider material things important caring relatives feel selfcentered,
joy,girlfriend taken exam went parents place,
fear,first time realized meaning death,
anger,car overtaking another forced drive road,
sadness,recently thought hard work takes study one wants try something else read theoretical book english understand,
disgust,found bristle liver paste tube,
shame,tired unmotivated shouted girlfriend brought negative sides character actually important,
guilt,think study enough weekend think able accomplished something time,
joy,pass examination think well,
fear,one arranged meet someone person arrives late meantime one starts thinking could gone wrong eg traffic accident,
anger,one unjustly accused something one done,
sadness,ones studies seem hopelessly difficult uninteresting,
disgust,one finds someone know like one thought instance friends steal things like quite unwarranted,
shame,one unjust stupid towards someone else,
guilt,one neglected unjust good friend,
joy,passing exam expect pass,
fear,climbed tree pick apples angle ladder enable get high enough implied ladder stable,
guilt,excuses necessary get,
joy,children,
fear,year old son climbed sat th floor balcony legs hanging holding tightly upper railing balcony could easily lost balance sat,
anger,partner attacked lost three teeth,
sadness,see children tv areas devastated drought war,
disgust,nearly walked blindworm saw crawl away,
shame,saw year old son grab oxygen mask breathing difficulties bad conscience stopped smoking medication dilation breathing tubes also caused sense guilt,
guilt,experience sense guilt middle son express like children neither verbally writing,
joy,child born,
fear,spring ice melting far jetty poked ice long branch try break branch went ice fell water closed head,
anger,unjust accusations directed way acting someone close,
sadness,failing examination,
disgust,drunkard fell started bleeding wet disgust turned sadnessunpleasantness,
shame,adult caught lying behaving badly,
guilt,environment person much worse realize privileged,
joy,saw person seen long time,
fear,child nearly knocked car,
anger,heard radio football match belgium ended catastrophe several people died could understand normal people could behave way,
sadness,feel lonely perhaps study lot shut appartment nothing happens particular time anything else,
disgust,one learns mass media wars killing going world,
shame,lied precise cancelled meeting good friend,
guilt,one lets friends,
joy,accepted course finance accounting,
fear,bus drove right leg event frightening wait emergency ward three hours leg began swell frightened,
anger,summer job nobody looked particular learn,
sadness,accepted student finance accounting,
disgust,moved new appartment found ventilator kitchen going clean found drum full mud slime felt disgusted,
shame,elder brother always good relationship feel ashamed call talk nowadays,
guilt,summer job new caretaker employed age preferred going lunch accounts personnel rather,
joy,passed exam points,
fear,cottage large forest alone dark,
sadness,railway station goodbye,
disgust,saw cripple rags small children italy probably imposter,
shame,told friend going party would enjoy came along understood would fitted something,
guilt,reason behind breakup friends relationship girlfriend finished,
joy,passed exam absolutely certain failed,
fear,way back denmark friend small yatch storm friend blown overboard scared till managed get back onboard,
anger,locked,
sadness,missed last tram home walk pouring rain,
disgust,found worms food obviously eaten,
shame,friend intoxicated police came took away later contacted parents,
guilt,hapened overhear something meant hear,
joy,trip greece competition,
fear,dark suspicious looking character comes towards,
anger,work elderly man complained unjustifiably distrusted,
sadness,understood anything lecture,
disgust,alcoholic stood dribbling food counter,
shame,friend discussing good looks guy realized listening,
guilt,complained colleague manager told someone complained colleague came believing liked,
joy,friends birthday party closest friends pleasant one could say happy good friends,
fear,way home one friday night heavy rain car acquaplanned lost contact road surface seconds,
anger,mad dad,
sadness,case unrequited love,
disgust,bad smelling cucumber,
shame,nearly caught masturbating,
guilt,help enough home,
joy,felt happy football pools,
fear,flew athens copenhagen holiday plane caught storm began shake thouhght going crash,
anger,someone stole bike,
sadness,saw list books read acccouting course thought oh god ever manaage,
disgust,read newspaper article future foresaw would eating frogburgers year illustration showed frog two pieces bread,
shame,dropped bottle state liquor store everyboby started laughing,
guilt,young pinched store caught store contacted parents,
joy,whole family gets together one week holiday everybody feels free trip well planned works well enjoy,
fear,could find year old daughter ran looked everywhere could find finally found gone bed sleep,
anger,friends try put hurt,
sadness,marriage crises boredom,
disgust,someone makes advances one want,
shame,discovery one thought oneself,
guilt,spanked child anger later regretted terribly,
joy,passed first examination repeat,
fear,drove stockholm first time drove stora hissingen road wrong exit,
anger,boyfriend went away month long holiday without,
sadness,last year worked summer holidays studied time examination repeat boyfriend went greece holiday month,
disgust,dog left whining outside shop,
shame,promised help friend weekend keep promise,
guilt,realized three examinations take,
joy,day told accepted student economics,
fear,taking short cut vasa park surrounded three people tried steal money scared saved appearance people,
anger,restaurant observed gypsies tried get money cheating foreigners ie non swedish speaking anger nothing hatred foreigners expression anger feel see people used,
sadness,begining new course one afraid encountering problems one manage thoughts revolve around failing subject consequences would future,
disgust,walking town noticed police harrassed man influence alcohol terrified thought arrest driving close behind pedestrian street disgust directed gestures facial expressions policemen seemed enjoying,
shame,boyfriend revealed knew discovered things important nature felt ashamed mentioned earlier,
guilt,dishonest friend close feel guilty know gives different version truth corrected mistakes aware know wrong,
joy,found passed last two exams margin three marks,
fear,father ill waiting results tests,
anger,got caught pouring rain last thursday raincoat,
sadness,failed exam,
shame,prepared contribution group thoroughly members result overall result poor,
guilt,father worked house recovered illness rather lazy meant work hard well later,
joy,gave birth son saw alive managed well born month early malfunctioning lung happened year ago,
fear,found father lung cancer know long would live,
anger,colleague asked help work despite fact time,
sadness,get salary increase expecting understood little ones work appreciated,
disgust,weeding garden found lizard hand,
shame,met friend seen long time heard troubles thought got touch earlier,
guilt,got angry mother something trivial bad mood father ill knew mother really needed support reacted wrongly,
joy,new years eve met girlfriend stood steps outside parents home kissed first time,
fear,stopped plain clothes policemen car driving overturned avenue driving fast afraid stopped questionned toild go situation ended happily since consequences,
anger,editor changed heading article written considered heading derogatory towards person written,
sadness,close acquaintance family died lung cancer although expected still felt depressed,
disgust,saw picture gothenburg post totally demolished car two fatally injured passengers car badly damaged couldnt get bodies scene accident,
shame,one night sexual intercourse another man sexual desire curiosity made jump bed ashamed,
guilt,due laziness failed term studies completely university also wanted extent protest parents expectations,
joy,got loan studies,
fear,met intoxicated people dubious intentions back alley one wednesday night,
anger,tv saw news feature south africa policeman attacked group black people whip,
sadness,thought read boring book pages english,
disgust,grovelling people,
shame,inability assert positively group,
guilt,experience feelings guilt study enough,
disgust,observing someone cafeteria noisily gulping food extremely bad manners,
shame,guess often ashamed talked badly people,
guilt,angry unpleasant towards parents,
joy,sister history one abortion one stillbirth gave birth perfectly healty boy,
fear,sister still born child emotionally deep took long time recover,
anger,starting student project teacher talked negative helpful,
sadness,boyfriend openly let preferring another girl,
disgust,felt disgust boyfriend time left,
shame,cant think,
guilt,accident aunt offered front seat car next driver declined took seat killed car crashed,
joy,unexpected visit close friend hadnt seen half year,
fear,wandered mistake safety zone shooting range shot,
anger,treated unfairly,
sadness,breaking girl,
disgust,nothing,
shame,none,
guilt,little contact father died,
joy,accepted student college thought possible,
fear,first arrive scene accident found close school friend killed,
anger,accused done something hadnt got angry,
sadness,grandmother died,
disgust,applicable,
joy,couple years ago summer holiday fishing lake husband suddenly started raining sun still shining experienced feeling joy happiness fulfillment whole nature full music,
fear,alone home bed reading womens magazine storiees paranormal experiences leg itching stretched hand scratch felt another strange hand later realized corner blanket,
anger,went lecture cancelled second time one negative attitude towards lecturer,
sadness,heard former superior mine died later home home reading newspaper thought interaction longer possible limited scope human life sad,
disgust,tram fat sickly looking woman front asking directions thick voice got go disgusting smell urine came felt would choke,
shame,home husband made remark something done perfectly friendly manner deed unjust knew husband right therefore sense shame,
guilt,made remark sister concerning attitude men way talked compared acquaintance mine later evening sister looked sad felt guilty sadness,
joy,summer job sweden boyfriend came meet birthday,
fear,went practice sweden summer afraid would well,
anger,holiday cottage association two pals came wake early one morning bringing radio played highest volume room morning service loudest,
sadness,grandmother died suddenly last summer,
